Compound_ID,SMILES,IC50_nM,pActivity,Measurements,Sources,Scaffold
BCRABL_002053,CC(=O)Nc1nc2ccc(-c3cnccc3C)cc2s1,81.0,7.091514981121351,1,BindingDB,c1cncc(-c2ccc3ncsc3c2)c1
BCRABL_002054,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1101.5,7.090228032229065,2,BindingDB,O=c1ccn(C2CCCO2)c(=O)[nH]1
BCRABL_002055,OC[C@H]1O[C@@H](c2ccc3c(c2)Cc2ccc(cc2)OCCCCCC3)[C@H](O)[C@@H](O)[C@@H]1O,81.9,7.086716098239582,1,BindingDB,c1cc2ccc1Cc1cc(C3CCCCO3)ccc1CCCCCCO2
BCRABL_002056,CC(C)c1c(-c2cnn(Cc3ccc(OC(F)(F)F)cc3)c2)[nH]c2ccccc2c1=O,82.0,7.086186147616283,1,BindingDB,O=c1cc(-c2cnn(Cc3ccccc3)c2)[nH]c2ccccc12
BCRABL_002057,Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1C#Cc1cnc2c(Nc3cnn(C)c3)ccnn12,82.9,7.081445469449727,1,BindingDB,O=C(Nc1ccccc1)Nc1cccc(C#Cc2cnc3c(Nc4cn[nH]c4)ccnn23)c1
BCRABL_002058,O=C1Nc2cc(OC(F)(F)F)ccc2Oc2ccc(-c3ccnc(N4CC[C@@H](O)C4)c3)cc21,83.0,7.080921907623926,1,BindingDB,O=C1Nc2ccccc2Oc2ccc(-c3ccnc(N4CCCC4)c3)cc21
BCRABL_002059,Cc1oc(-c2ccccc2)nc1CCOc1cccc(CN(CC(=O)O)Cc2cccc(Oc3ccccc3)c2)c1,83.0,7.080921907623926,1,BindingDB,c1ccc(Oc2cccc(CNCc3cccc(OCCc4coc(-c5ccccc5)n4)c3)c2)cc1
BCRABL_002060,CCn1c(CCCc2cccc(-c3ccc(F)c(CC(=O)O)c3)c2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,83.0,7.080921907623926,1,BindingDB,O=c1[nH]c(CCCc2cccc(-c3ccccc3)c2)nn1Cc1ccccc1
BCRABL_002061,Nc1n[nH]c2cccc(-c3ccc(C(=O)N4CCN(C(=O)c5ccccc5Cl)CC4)cc3)c12,84.0,7.075720713938118,2,"BindingDB, ChEMBL",O=C(c1ccccc1)N1CCN(C(=O)c2ccc(-c3cccc4[nH]ncc34)cc2)CC1
BCRABL_002062,Cc1ccc(-c2cncc(-c3ccnc(Nc4cc(NC(=O)c5ccc(CN6CCN(C)CC6)cc5)ccc4C)n3)c2)nc1,84.0,7.075720713938118,1,BindingDB,O=C(Nc1cccc(Nc2nccc(-c3cncc(-c4ccccn4)c3)n2)c1)c1ccc(CN2CCNCC2)cc1
BCRABL_002063,Cc1cc(-c2cncc(-c3ccnc(Nc4cc(NC(=O)c5ccc(CN6CCNCC6)cc5)ccc4C)n3)c2)on1,84.0,7.075720713938118,1,BindingDB,O=C(Nc1cccc(Nc2nccc(-c3cncc(-c4ccno4)c3)n2)c1)c1ccc(CN2CCNCC2)cc1
BCRABL_002064,Cc1nc(NC(=O)CN2CCN(C)CC2)sc1-c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,84.0,7.075720713938118,1,BindingDB,O=C(CN1CCNCC1)Nc1ncc(-c2ccc3c(C=Cc4ccccn4)n[nH]c3c2)s1
BCRABL_002065,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCC1,85.0,7.070581074285707,1,BindingDB,c1ccc(-c2cn(C3CCC3)c3ncncc23)cc1
BCRABL_002066,Cc1oc(-c2ccccc2)nc1CCOc1cccc(Cc2nn(-c3ccccc3)nc2CC(=O)O)c1,85.0,7.070581074285707,1,BindingDB,c1ccc(-c2nc(CCOc3cccc(Cc4cnn(-c5ccccc5)n4)c3)co2)cc1
BCRABL_002067,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,86.0,7.0655015487564325,1,BindingDB,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1
BCRABL_002068,Nc1n[nH]c2cccc(-c3ccc(C(=O)N4CCN(C(=O)c5cccc(F)c5)CC4)cc3)c12,86.0,7.0655015487564325,2,"BindingDB, ChEMBL",O=C(c1ccccc1)N1CCN(C(=O)c2ccc(-c3cccc4[nH]ncc34)cc2)CC1
BCRABL_002069,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,86.1,7.064996848546345,1,BindingDB,c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1
BCRABL_002070,C=CC(=O)N1CCCC[C@H]1n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,86.1,7.064996848546345,1,BindingDB,c1ccc(Oc2ccc(-c3nn(C4CCCCN4)c4ncncc34)cc2)cc1
BCRABL_002071,CC(C)(C)c1nc(-c2ccc3ccccc3c2)c2c(N)nccn12,86.2,7.064492734175287,1,BindingDB,c1ccc2cc(-c3ncn4ccncc34)ccc2c1
BCRABL_002072,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CN(CC(=O)O)Cc2cccc(Oc3ccccc3)c2)cc1,88.0,7.055517327849831,1,BindingDB,c1ccc(Oc2cccc(CNCc3ccc(OCCc4coc(-c5ccccc5)n4)cc3)c2)cc1
BCRABL_002073,Cc1ccc(C(=O)Nc2cc(-n3cnc(C4CC4)c3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,88.0,7.055517327849831,1,BindingDB,O=C(Nc1cccc(-n2cnc(C3CC3)c2)c1)c1cccc(C#Cc2cnc3cccnn23)c1
BCRABL_002074,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](c2cc(OCCN3CCC(c4ccc5c(c4)C(C)(C)c4nc(=O)c6c(Cl)cccc6n4-5)CC3)no2)C(C)C)cc1,88.0,7.055517327849831,1,BindingDB,O=C(NCc1ccc(-c2cncs2)cc1)C1CCCN1C(=O)Cc1cc(OCCN2CCC(c3ccc4c(c3)Cc3nc(=O)c5ccccc5n3-4)CC2)no1
BCRABL_002075,CS(=O)(=O)c1ccc2nc(NC(=O)NCc3nc(-c4ccccc4)c[nH]3)sc2c1,88.0,7.055517327849831,1,BindingDB,O=C(NCc1nc(-c2ccccc2)c[nH]1)Nc1nc2ccccc2s1
BCRABL_002076,COc1cc(-c2n[nH]c3ncc(-c4ccc(C)c(NCCO)c4)cc23)cc(OC)c1OC,88.0,7.055517327849831,1,BindingDB,c1ccc(-c2cnc3[nH]nc(-c4ccccc4)c3c2)cc1
BCRABL_002077,CCCOC(=O)N1C=C(Cc2cccc(OCCc3nc(-c4ccccc4)oc3C)c2)C(C(=O)O)CC1,88.0,7.055517327849831,1,BindingDB,C1=C(Cc2cccc(OCCc3coc(-c4ccccc4)n3)c2)CCCN1
BCRABL_002078,CC1(C)CN(c2cccc(-c3csc(NC(=O)CNC(=O)c4ccn(C(C)(C)C)c4)n3)n2)CCO1,88.0,7.055517327849831,1,BindingDB,O=C(CNC(=O)c1cc[nH]c1)Nc1nc(-c2cccc(N3CCOCC3)n2)cs1
